Serial Number;List Year;Date Recorded;Town;Address;Assessed Value;Property Type;Residential Type;area_m2;meses_en_venta;nro_habitaciones;nro_pisos;Sale Amount
11014;2011;12/14/2011;East Lyme;36 HILLSIDE TERR;443200;Single Family;Single Family;277m2;1;7;3;443200
11014;2011;10/11/2011;Windham;114 GOODRICH RD;425600;Single Family;Single Family;266m2;8;7;3;425600
11014;2011;10/28/2011;Portland;25PAPER MILL DRIVE;420800;Single Family;Single Family;263m2;2;7;3;420800
11014;2011;12/12/2011;Westport;76 ARROWHEAD DRIVE;414400;Single Family;Single Family;259m2;4;7;3;414400
11014;2011;06/18/2012;Rocky Hill;85 OLD SKINNER RD;403200;Single Family;Single Family;252m2;6;7;3;403200
11014;2011;11/28/2011;East Lyme;139 BARSTOW RD;396800;Single Family;Single Family;248m2;5;6;3;396800
11014;2011;04/19/2012;East Lyme;331 PARKER RD;392000;Single Family;Single Family;245m2;3;6;3;392000
11014;2011;11/17/2011;Bozrah;49 POWERHOUSE RD;382500;Single Family;Single Family;225m2;2;6;3;382500
11014;2011;10/19/2011;Westport;52 SUGAR HILL ROAD;355000;Single Family;Single Family;171m2;4;5;2;355000
11014;2011;10/19/2011;Lisbon;117 RANDY LN;338300;Single Family;Single Family;199m2;3;5;2;338300
11014;2011;11/15/2011;East Lyme;159 GROVE STREET;333200;Single Family;Single Family;196m2;1;5;2;333200
11014;2011;10/27/2011;Montville;530 ROUTE 161;321300;Single Family;Single Family;189m2;2;5;2;321300
11014;2011;12/02/2011;Rocky Hill;447 HIGGANUM ROAD;319000;Single Family;Single Family;172m2;4;5;2;319000
11014;2011;04/18/2012;Bridgeport;89 REED RD;314500;Single Family;Single Family;185m2;6;5;2;314500
11014;2011;12/01/2011;Westport;1 LOVERS LANE;286200;Single Family;Single Family;159m2;4;5;2;286200
11014;2011;10/21/2011;Waterford;227 PORTER ST;266400;Single Family;Single Family;148m2;3;4;2;266400
11014;2011;10/11/2011;Bozrah;33 EVERGREEN DR.;261000;Single Family;Single Family;145m2;5;4;2;261000
11014;2011;8/08/2012;Bozrah;43 EAGER RD;253800;Single Family;Single Family;141m2;3;4;2;253800
11014;2011;10/26/2011;Enfield;310 PURDY HILL RD;369880;Single Family;Single Family;135m2;4;4;2;243000
11014;2011;10/26/2011;Bozrah;291 OLIVER WAY;232000;Condo;Condo;92m2;4;3;1;232000
11014;2011;11/02/2011;Rocky Hill;45 MAIN ST UNIT 206;145800;Condo;Condo;81m2;3;3;1;145800
11015;2011;6/01/2012;Naugatuck;1 AND 3 TAMARACK LANE;3225290;Single Family;Single Family;164m2;14;5;2;2675000
11015;2011;10/14/2011;Windham;272 MANSFIELD AVENUE;2465000;Single Family;Single Family;206m2;6;6;3;2465000
11015;2011;11/03/2011;Wilton;233 WESTPORT RD;1260000;Single Family;Single Family;250m2;8;7;3;1260000
11015;2011;11/09/2011;Lisbon;14 PELHAM ROAD;880000;Single Family;Single Family;180m2;9;5;2;880000
11015;2011;10/12/2011;Westport;162 MOUNTAIN LAUREL ROAD;840000;Single Family;Single Family;293m2;3;7;3;840000
11015;2011;07/17/2012;Portland;152 N STATE ST;597000;Three Family;Three Family;398m2;3;7;4;597000
11015;2011;10/21/2011;Waterford;126 PORTER ST;553500;Two Family;Two Family;369m2;4;7;4;553500
11015;2011;10/11/2011;Bozrah;417 LAURELWOOD LANE;545000;Single Family;Single Family;288m2;8;7;3;545000
11015;2011;2/09/2012;Naugatuck;330 FALLS RD;485000;Single Family;Single Family;226m2;4;6;3;485000
11015;2011;05/22/2012;Greenwich;37 WOODLAND RD;468800;Single Family;Single Family;293m2;7;7;3;468800
11015;2011;10/14/2011;Lisbon;370 NOTT ST;456000;Single Family;Single Family;285m2;2;7;3;456000
11015;2011;04/25/2012;Bridgeport;47 RABBIT HILL RD;446400;Single Family;Single Family;279m2;5;7;3;446400
11015;2011;12/09/2011;East Lyme;132 ELMDALE RD;420800;Single Family;Single Family;263m2;3;7;3;420800
11015;2011;10/11/2011;Windham;98 NEWELL LN;417600;Single Family;Single Family;261m2;2;7;3;417600
11015;2011;11/03/2011;Bozrah;12 MUIRFIELD ROAD;412000;Single Family;Single Family;229m2;1;6;3;412000
11015;2011;7/02/2012;Rocky Hill;174 WALNUT HILL RD;404800;Single Family;Single Family;253m2;7;7;3;404800
11015;2011;11/02/2011;Montville;1650 OLD COLCHESTER RD;403200;Single Family;Single Family;252m2;3;7;3;403200
11015;2011;12/16/2011;East Lyme;20 BOKUM RD;394400;Single Family;Single Family;232m2;9;6;3;394400
11015;2011;12/05/2011;Rocky Hill;206 HADDAM QUARTER RD;385900;Single Family;Single Family;227m2;2;6;3;385900
11015;2011;10/28/2011;Enfield;65 TURKEY ROOST RD;380000;Single Family;Single Family;168m2;9;5;2;380000
11015;2011;12/01/2011;Westport;13 ALBERTA RD;370000;Single Family;Single Family;174m2;9;5;2;370000
11015;2011;11/02/2011;Westport;85-87 COMMUNITY AVE;355300;Two Family;Two Family;209m2;4;6;3;355300
11015;2011;12/15/2011;Westport;161 LAKESHORE DRIVE;346800;Single Family;Single Family;204m2;4;6;3;346800
11015;2011;11/17/2011;East Lyme;204 OAKRIDGE DRIVE;326400;Single Family;Single Family;192m2;2;5;2;326400
11015;2011;11/14/2011;New Canaan;30 MEADOW RD;290700;Single Family;Single Family;171m2;5;5;2;290700
11015;2011;11/17/2011;Bozrah;34 ALEXANDER RD;277100;Single Family;Single Family;163m2;6;5;2;277100
11015;2011;5/08/2012;East Lyme;48 OLD CANTERBURY RD;332680;Single Family;Single Family;161m2;3;5;2;273700
11015;2011;10/24/2011;Westport;16 EZRA STREET;262800;Single Family;Single Family;146m2;4;4;2;262800
11015;2011;12/15/2011;Rocky Hill;534  HIGH ST EXT;246600;Single Family;Single Family;137m2;10;4;2;246600
11015;2011;10/28/2011;Portland;46 BRANTWOOD DRIVE;203400;Condo;Condo;113m2;1;4;2;203400
11016;2011;10/17/2011;Windham;39 STONY BROOK ROAD;2000000;Single Family;Single Family;208m2;1;6;3;2000000
11016;2011;10/12/2011;Westport;241 BROOKSIDE DRIVE;710000;Single Family;Single Family;250m2;4;7;3;710000
11016;2011;10/21/2011;Waterford;221 PORTER ST;547500;Two Family;Two Family;365m2;3;7;4;547500
11016;2011;11/03/2011;Wilton;74 VALEVIEW RD;495000;Single Family;Single Family;289m2;2;7;3;495000
11016;2011;11/30/2011;Lisbon;48 NORTH STREET;480000;Single Family;Single Family;178m2;5;5;2;480000
11016;2011;05/23/2012;Greenwich;111 CARMEL HILL RD S;467200;Single Family;Single Family;292m2;6;7;3;467200
11016;2011;11/04/2011;Montville;11 HALE HAVEN CT;462400;Single Family;Single Family;289m2;5;7;3;462400
11016;2011;10/14/2011;Windham;49 OLD MAIDS LN;457600;Single Family;Single Family;286m2;2;7;3;457600
11016;2011;2/10/2012;Naugatuck;35 TIMBER LN;443200;Single Family;Single Family;277m2;1;7;3;443200
11016;2011;07/23/2012;Portland;5 MEADOW ST;417600;Two Family;Two Family;261m2;2;7;3;417600
11016;2011;6/05/2012;Naugatuck;20 SOUTHBURY RD;414400;Single Family;Single Family;259m2;4;7;3;414400
11016;2011;11/09/2011;Westport;34 HARRINGTON DR;396100;Single Family;Single Family;233m2;1;6;3;396100
11016;2011;9/06/2012;Bozrah;22 LEBANON RD;388800;Single Family;Single Family;243m2;19;6;3;388800
11016;2011;12/19/2011;Westport;5 NILES ROAD;387200;Single Family;Single Family;242m2;3;6;3;387200
11016;2011;11/10/2011;Naugatuck;10 ELIZABETH ROAD;387200;Single Family;Single Family;242m2;3;6;3;387200
11016;2011;12/15/2011;East Lyme;142 BINGHAM RD;375700;Single Family;Single Family;221m2;6;6;3;375700
11016;2011;10/24/2011;Westport;16 EZRA STREET;374000;Single Family;Single Family;220m2;5;6;3;374000
11016;2011;6/05/2012;East Lyme;212 PROVIDENCE TPKE;346800;Single Family;Single Family;204m2;2;6;3;346800
11016;2011;12/05/2011;Westport;430 CORNWALL BRIDGE RD;341700;Single Family;Single Family;201m2;5;6;3;341700
11016;2011;02/22/2012;Rocky Hill;42 FERRY ROAD;333200;Single Family;Single Family;196m2;4;5;2;333200
11016;2011;6/04/2012;Bridgeport;261 CORNWALL RD;292400;Single Family;Single Family;172m2;4;5;2;292400
11016;2011;11/18/2011;East Lyme;16 JAMES STREET;285600;Single Family;Single Family;168m2;5;5;2;285600
11016;2011;10/31/2011;Portland;28 HAMPSHIRE ROAD;280000;Condo;Condo;91m2;4;3;1;280000
11016;2011;12/20/2011;East Lyme;24 RIVER RD;275400;Single Family;Single Family;153m2;17;5;2;275400
11016;2011;7/09/2012;Rocky Hill;360 RIVERTON RD;255600;Single Family;Single Family;142m2;5;4;2;255600
11016;2011;11/10/2011;Bozrah;16 TIMOTHY LANE;252000;Single Family;Single Family;140m2;11;4;2;252000
11016;2011;10/13/2011;Lisbon;62 MONTICELLO DR;347900;Single Family;Single Family;131m2;6;4;2;235800
11016;2011;10/31/2011;Enfield;54 TWIN BROOK TER;232200;Single Family;Single Family;129m2;5;4;2;232200
11016;2011;12/21/2011;Rocky Hill;203 BRANCH RD 1B;214200;Condo;Condo;119m2;6;4;2;214200
11016;2011;12/09/2011;Rocky Hill;6 CENTER ST UNIT 2;201600;Condo;Condo;112m2;2;4;2;201600
11017;2011;11/14/2011;Lisbon;57 POWDERMAKER DRIVE;980000;Single Family;Single Family;178m2;2;5;2;980000
11017;2011;10/14/2011;Westport;31 ADAMS ROAD;580000;Single Family;Single Family;196m2;2;5;2;580000
11017;2011;7/03/2012;Bridgeport;144 CURTISS RD;578000;Single Family;Single Family;171m2;4;5;2;578000
11017;2011;12/05/2011;Westport;34 DRUM RD;622240;Single Family;Single Family;284m2;5;7;3;550000
11017;2011;11/22/2011;New Canaan;571 GEO WASHINGTON TPKE;485000;Single Family;Single Family;234m2;6;6;3;485000
11017;2011;11/01/2011;Portland;28 CORNISH WOODS ROAD;464000;Single Family;Single Family;290m2;3;7;3;464000
11017;2011;12/21/2011;East Lyme;6 SOUTHWORTH ST;459200;Single Family;Single Family;287m2;3;7;3;459200
11017;2011;07/23/2012;Portland;115 ROCKWOOD AVE;396800;Single Family;Single Family;248m2;4;6;3;396800
11017;2011;10/17/2011;Windham;17 CHARLES STREET;395200;Single Family;Single Family;247m2;2;6;3;395200
11017;2011;9/11/2012;Bozrah;456 LEBANON RD;394400;Single Family;Single Family;232m2;2;6;3;394400
11017;2011;08/17/2012;Naugatuck;29 PHELPS RD;357000;Single Family;Single Family;210m2;4;6;3;357000
11017;2011;02/15/2012;Naugatuck;4 PECK RD;355300;Single Family;Single Family;209m2;4;6;3;355300
11017;2011;12/16/2011;East Lyme;256 LISBON RD;355300;Single Family;Single Family;209m2;5;6;3;355300
11017;2011;12/13/2011;Rocky Hill;143 MEETING HOUSE HILL RD;323000;Single Family;Single Family;190m2;3;5;2;323000
11017;2011;12/20/2011;Westport;254 SOUTHEAST ROAD;304300;Single Family;Single Family;179m2;3;5;2;304300
11017;2011;11/08/2011;Montville;11 ORTEGA DR;299200;Single Family;Single Family;176m2;4;5;2;299200
11017;2011;11/02/2011;Enfield;6 CEDAR TER;280800;Single Family;Single Family;156m2;8;5;2;280800
11017;2011;02/29/2012;Rocky Hill;50 CEDAR LAKE ROAD;275400;Single Family;Single Family;153m2;11;5;2;275400
11017;2011;07/16/2012;Rocky Hill;70 GRANVILLE RD;273700;Single Family;Single Family;161m2;4;5;2;273700
11017;2011;11/08/2011;Lisbon;28 COTTWELL DR;271800;Single Family;Single Family;151m2;2;5;2;271800
11017;2011;10/24/2011;Westport;1299 MT CARMEL AVENUE;266400;Single Family;Single Family;148m2;2;4;2;266400
11017;2011;11/21/2011;Bozrah;112 SCHULMAN VESELAK RD;255600;Single Family;Single Family;142m2;5;4;2;255600
11017;2011;11/04/2011;Wilton;43 LINDEN TREE RD;917700;Single Family;Single Family;138m2;10;4;2;248400
11017;2011;11/10/2011;Bozrah;97 ADAMS ROAD;246600;Single Family;Single Family;137m2;1;4;2;246600
11017;2011;11/21/2011;East Lyme;47 FOX HOLLOW DRIVE;237600;Condo;Condo;132m2;2;4;2;237600
11017;2011;11/17/2011;Westport;23 PERKINS ST;226800;Single Family;Single Family;126m2;5;4;2;226800
11017;2011;10/17/2011;Windham;33 WILLIAMS GLEN WAY;221400;Condo;Condo;123m2;2;4;2;221400
11017;2011;12/19/2011;Rocky Hill;197 PINE HILL RD;163800;Condo;Condo;91m2;4;3;1;163800
11017;2011;10/13/2011;East Lyme;16 B HERITAGE VLG;152000;Condo;Condo;76m2;5;2;1;152000
11018;2011;11/07/2011;Wilton;368 NEW CANAAN RD;1255000;Single Family;Single Family;269m2;6;7;3;1255000
11018;2011;6/05/2012;Naugatuck;130 TOPHET RD;826680;Single Family;Single Family;297m2;4;7;3;541250
11018;2011;11/09/2011;Montville;24 DERRY HILL RD;473600;Single Family;Single Family;296m2;3;7;3;473600
11018;2011;10/27/2011;Westport;77 BLAKESLEE AVENUE;456000;Single Family;Single Family;285m2;3;7;3;456000
11018;2011;02/16/2012;Naugatuck;102 HIGH RD;418382;Single Family;Single Family;168m2;1;5;2;418382
11018;2011;11/09/2011;Lisbon;34 GARDEN HILL RD;396800;Single Family;Single Family;248m2;6;6;3;396800
11018;2011;11/22/2011;New Canaan;48 CASE RD;390400;Single Family;Single Family;244m2;8;6;3;390400
11018;2011;7/03/2012;Greenwich;36 NONNEWAUG RD;390400;Single Family;Single Family;244m2;8;6;3;390400
11018;2011;1/12/2012;Westport;80 WICKETT STREET;388800;Single Family;Single Family;243m2;6;6;3;388800
11018;2011;11/21/2011;Bozrah;133 TATER HILL RD;380000;Single Family;Single Family;188m2;3;5;2;380000
11018;2011;10/24/2011;Waterford;200 HILLTOP RD;372300;Single Family;Single Family;219m2;6;6;3;372300
11018;2011;07/23/2012;Portland;10 MARY ST;367200;Single Family;Single Family;216m2;8;6;3;367200
11018;2011;11/28/2011;East Lyme;43 SOUTH STREET;351900;Single Family;Single Family;207m2;13;6;3;351900
11018;2011;11/14/2011;Naugatuck;23 CANTON VALLEY CIRCLE;338300;Single Family;Single Family;199m2;10;5;2;338300
11018;2011;12/22/2011;East Lyme;339 NO SOCIETY RD;336600;Single Family;Single Family;198m2;3;5;2;336600
11018;2011;11/01/2011;Portland;565 GREEN HILL ROAD;335000;Single Family;Single Family;175m2;5;5;2;335000
11018;2011;10/17/2011;Windham;7 BROOK ST;334900;Single Family;Single Family;197m2;6;5;2;334900
11018;2011;11/21/2011;Westport;36 HIGHLAND ST EXT;326400;Single Family;Single Family;192m2;4;5;2;326400
11018;2011;07/30/2012;Rocky Hill;145 HI VIEW RD;324700;Single Family;Single Family;191m2;2;5;2;324700
11018;2011;1/03/2012;Rocky Hill;710 HIGH ST EXT;307700;Single Family;Single Family;181m2;4;5;2;307700
11018;2011;07/17/2012;Bridgeport;155 CORNWALL RD;306000;Single Family;Single Family;180m2;15;5;2;306000
11018;2011;10/11/2011;Westport;141 TOLL HOUSE LANE;285000;Single Family;Single Family;128m2;4;4;2;285000
11018;2011;4/05/2012;Bozrah;28 PETTIBONE LANE;277200;Single Family;Single Family;154m2;3;5;2;277200
11018;2011;11/17/2011;Lisbon;17 KIMBERLY COURT;1278240;Single Family;Single Family;147m2;5;4;2;264600
11018;2011;11/14/2011;Bozrah;2 HIRAM LANE;264600;Single Family;Single Family;147m2;1;4;2;264600
11018;2011;10/06/2011;Southington;35 BEACH VIEW DRIVE;257400;Single Family;Single Family;143m2;3;4;2;257400
11018;2011;08/28/2012;Naugatuck;291 SMITH HILL RD;248900;Single Family;Single Family;133m2;4;4;2;248900
11018;2011;11/07/2011;Enfield;20 MARSH POND LN;275590;Condo;Condo;131m2;5;4;2;235800
11018;2011;12/23/2011;East Lyme;182 WEST BRIDGE ST;228600;Single Family;Single Family;127m2;1;4;2;228600
11018;2011;12/14/2011;Rocky Hill;23 HAMLET MANOR LANE;220000;Condo;Condo;108m2;9;4;2;220000
11018;2011;10/18/2011;Bozrah;986 C HERITAGE VLG;145800;Condo;Condo;81m2;1;3;1;145800
11019;2011;10/31/2011;Windham;7 KNOLLWOOD LANE;2450000;Single Family;Single Family;160m2;2;5;2;2450000
11019;2011;10/14/2011;Westport;80 FLEMING LANE;2275000;Single Family;Single Family;272m2;12;7;3;2275000
11019;2011;11/01/2011;Portland;103 WILDCAT SPRINGS ROAD;655600;Single Family;Single Family;253m2;3;7;3;650000
11019;2011;10/25/2011;Waterford;1057 MIDDLEBURY RD;467200;Single Family;Single Family;292m2;1;7;3;467200
11019;2011;11/14/2011;Naugatuck;54 BARBOURTOWN ROAD;464000;Single Family;Single Family;290m2;4;7;3;464000
11019;2011;12/29/2011;East Lyme;69 RIVERVIEW AVE;456000;Single Family;Single Family;285m2;5;7;3;456000
11019;2011;02/14/2012;Rocky Hill;432 OLD NORTHFIELD RD;455000;Single Family;Single Family;259m2;2;7;3;455000
11019;2011;06/22/2012;Naugatuck;13 EVERGREEN DRIVE;529610;Single Family;Single Family;277m2;2;7;3;443200
11019;2011;11/07/2011;Enfield;102 WENDOVER DR;427200;Single Family;Single Family;267m2;8;7;3;427200
11019;2011;10/19/2011;Southington;136 LILLIBRIDGE AVE;417600;Single Family;Single Family;261m2;4;7;3;417600
11019;2011;02/24/2012;Naugatuck;50 PERKINS RD;416000;Single Family;Single Family;260m2;1;7;3;416000
11019;2011;11/17/2011;Lisbon;55 OLCOTT WAY;414400;Single Family;Single Family;259m2;8;7;3;414400
11019;2011;03/16/2012;Rocky Hill;84 TURKEY HILL RD;409600;Single Family;Single Family;256m2;4;7;3;409600
11019;2011;10/27/2011;Westport;11 BRADLEY STREET;401600;Single Family;Single Family;251m2;1;7;3;401600
11019;2011;11/10/2011;Montville;34 LAUREL POINT DR;400000;Single Family;Single Family;230m2;1;6;3;400000
11019;2011;11/23/2011;Bozrah;6 BARBERRY LANE;388800;Single Family;Single Family;243m2;1;6;3;388800
11019;2011;11/30/2011;Lisbon;4 SAXON RD;380800;Single Family;Single Family;224m2;1;6;3;380800
11019;2011;10/18/2011;Bozrah;105 LOWER FISH ROCK RD;341700;Single Family;Single Family;201m2;4;6;3;341700
11019;2011;12/20/2011;Rocky Hill;24 SCHOOL HOUSE LANE;316200;Single Family;Single Family;186m2;2;5;2;316200
11019;2011;11/23/2011;New Canaan;6 ROCK RD;295800;Single Family;Single Family;174m2;9;5;2;295800
11019;2011;11/15/2011;Bozrah;11 MALONE DR;273600;Single Family;Single Family;152m2;3;5;2;273600
11019;2011;11/28/2011;East Lyme;8 SEYMOUR ROAD;266400;Single Family;Single Family;148m2;2;4;2;266400
11019;2011;7/10/2012;East Lyme;981 PUDDING HILL RD;266400;Single Family;Single Family;148m2;6;4;2;266400
11019;2011;12/29/2011;Westport;47 CAROLINE DR;412800;Single Family;Single Family;130m2;5;4;2;235000
11019;2011;07/23/2012;Portland;21 COLUMBIA ST;234000;Single Family;Single Family;130m2;1;4;2;234000
11019;2011;10/17/2011;Windham;188 HIGH WOOD DR;442700;Single Family;Single Family;126m2;1;4;2;226800
11019;2011;11/07/2011;Wilton;312 RIDGEFIELD RD;2067660;Single Family;Single Family;122m2;10;4;2;220000
11020;2011;11/07/2011;Wilton;22 OLD NURSERY RD;1865000;Single Family;Single Family;290m2;4;7;3;1865000
11020;2011;1/03/2012;Westport;139 MILLERTON RD;2473000;Single Family;Single Family;197m2;6;5;2;1550000
11020;2011;09/18/2012;Bridgeport;87 WINDY RIDGE RD;900000;Single Family;Single Family;212m2;1;6;3;900000
11020;2011;07/30/2012;Portland;11 WEBB TERR;452800;Single Family;Single Family;283m2;7;7;3;452800
11020;2011;10/11/2011;Westport;967 CHURCH HILL ROAD;442500;Single Family;Single Family;175m2;3;5;2;442500
11020;2011;10/25/2011;Waterford;57 ATWOOD ST;416000;Single Family;Single Family;260m2;3;7;3;416000
11020;2011;12/21/2011;Rocky Hill;110R OLD BLUE HILLS RD;416000;Single Family;Single Family;260m2;4;7;3;416000
11020;2011;01/18/2012;Westport;885 TOWN HILL ROAD;409600;Single Family;Single Family;256m2;4;7;3;409600
11020;2011;11/10/2011;Lisbon;62 ASPEN LEDGES ROAD;408000;Single Family;Single Family;255m2;4;7;3;408000
11020;2011;3/05/2012;Rocky Hill;78 OLD SMITH RD;400000;Single Family;Single Family;250m2;1;7;3;400000
11020;2011;11/17/2011;Naugatuck;28 CASE STREET;399500;Single Family;Single Family;235m2;4;6;3;399500
11020;2011;8/01/2012;Rocky Hill;507 RIVERTON RD;396800;Single Family;Single Family;248m2;10;6;3;396800
11020;2011;11/02/2011;Portland;64 RAILROAD AVENUE;391000;Single Family;Single Family;230m2;8;6;3;391000
11020;2011;07/24/2012;Greenwich;49 GUILDS HOLLOW RD;385000;Single Family;Single Family;209m2;3;6;3;385000
11020;2011;10/28/2011;Westport;93 FROST DRIVE;380800;Single Family;Single Family;224m2;1;6;3;380800
11020;2011;11/30/2011;Westport;264 NORWICH RD;368900;Single Family;Single Family;217m2;4;6;3;368900
11020;2011;5/02/2012;Bozrah;17 SUNSET RIDGE RD;512900;Single Family;Single Family;176m2;4;5;2;365000
11020;2011;11/16/2011;Bozrah;29 VALLEY VIEW;329800;Single Family;Single Family;194m2;5;5;2;329800
11020;2011;11/29/2011;East Lyme;44 JUNIPER DRIVE;309400;Single Family;Single Family;182m2;4;5;2;309400
11020;2011;10/22/2011;Windham;49 WHAPLEY RD;309400;Single Family;Single Family;182m2;5;5;2;309400
11020;2011;11/29/2011;Bozrah;22 BEACH RD;302600;Single Family;Single Family;178m2;7;5;2;302600
11020;2011;11/04/2011;Lisbon;75 CARSON AVE;287300;Single Family;Single Family;169m2;6;5;2;287300
11020;2011;11/29/2011;New Canaan;10 SHERMAN DR;277100;Single Family;Single Family;163m2;8;5;2;277100
11020;2011;02/24/2012;Naugatuck;53 MUNSON RD;246600;Single Family;Single Family;137m2;5;4;2;246600
11020;2011;4/10/2012;Rocky Hill;42 LIBERTY STREET;243000;Single Family;Single Family;135m2;6;4;2;243000
11020;2011;11/01/2011;Windham;11 CATALPA TERRACE;503160;Single Family;Single Family;131m2;3;4;2;235800
11020;2011;09/28/2012;Naugatuck;561 COLEBROOK RD;394700;Single Family;Single Family;128m2;3;4;2;230400
11020;2011;10/20/2011;Bozrah;108 F HERITAGE VLG;192600;Condo;Condo;107m2;2;4;2;192600
11020;2011;11/07/2011;Enfield;71 HIDDEN KNOLLS CIR;172800;Condo;Condo;96m2;2;3;1;172800
11021;2011;11/08/2011;Wilton;9 FOX RUN;910000;Single Family;Single Family;246m2;9;6;3;910000
11021;2011;11/17/2011;Bozrah;22 HOSKINS RD;475200;Single Family;Single Family;297m2;12;7;3;475200
11021;2011;1/05/2012;East Lyme;57 ESSEX ST;472000;Single Family;Single Family;295m2;5;7;3;472000
11021;2011;10/19/2011;Windham;1307 DIAMOND LAKE RD;435200;Single Family;Single Family;272m2;2;7;3;435200
11021;2011;09/24/2012;Rocky Hill;31 WALNUT HILL RD;427200;Single Family;Single Family;267m2;10;7;3;427200
11021;2011;3/06/2012;Rocky Hill;168 REYNOLDS BRIDGE RD;425600;Single Family;Single Family;266m2;4;7;3;425600
11021;2011;8/07/2012;Greenwich;27 KASSON AVE;422400;Single Family;Single Family;264m2;5;7;3;422400
11021;2011;11/30/2011;New Canaan;104 WOOD CREEK RD;409600;Single Family;Single Family;256m2;10;7;3;409600
11021;2011;07/17/2012;Naugatuck;41 ROCKY MOUNTAIN RD;401200;Single Family;Single Family;236m2;2;6;3;401200
11021;2011;02/29/2012;Naugatuck;45 HUNTERS TRAIL;394400;Single Family;Single Family;232m2;3;6;3;394400
11021;2011;05/14/2012;Bozrah;11 GRANT ST;392000;Single Family;Single Family;245m2;6;6;3;392000
11021;2011;07/31/2012;East Lyme;38 EDWARDS RD;374000;Single Family;Single Family;220m2;5;6;3;374000
11021;2011;01/31/2012;Westport;625 LITCHFIELD TPKE;357000;Single Family;Single Family;210m2;4;6;3;357000
11021;2011;01/13/2012;East Lyme;46 DOUGLAS DR;353600;Single Family;Single Family;208m2;5;6;3;353600
11021;2011;12/09/2011;Southington;92 PENDLETON HILL RD;338300;Single Family;Single Family;199m2;1;5;2;338300
11021;2011;11/03/2011;Lisbon;261 GREAT HILL ROAD;334900;Single Family;Single Family;197m2;5;5;2;334900
11021;2011;4/12/2012;Rocky Hill;46 DEEP HOLLOW ROAD;334900;Single Family;Single Family;197m2;9;5;2;334900
11021;2011;11/07/2011;Enfield;61 ISRAEL HILL RD;330000;Single Family;Single Family;187m2;2;5;2;330000
11021;2011;10/11/2011;Westport;55 MELVILLE DRIVE;328100;Single Family;Single Family;193m2;3;5;2;328100
11021;2011;07/30/2012;Portland;18 HARRIS RD;312800;Single Family;Single Family;184m2;6;5;2;312800
11021;2011;10/31/2011;Westport;14 PALMER ROAD;277100;Single Family;Single Family;163m2;3;5;2;277100
11021;2011;12/30/2011;Rocky Hill;135 MADISON AVE;268200;Single Family;Single Family;149m2;11;4;2;268200
11021;2011;11/23/2011;Lisbon;49 PICKERING LN;262500;Condo;Condo;129m2;10;4;2;262500
11021;2011;11/02/2011;Windham;13 BROOKSIDE DRIVE;681310;Single Family;Single Family;141m2;11;4;2;253800
11021;2011;10/26/2011;Waterford;122 BELLA VISTA DR;513600;Single Family;Single Family;127m2;3;4;2;228600
11021;2011;11/22/2011;Naugatuck;14 SPOON WOOD DRIVE;226800;Condo;Condo;126m2;2;4;2;226800
11021;2011;11/30/2011;East Lyme;502 ASH DRIVE;223200;Single Family;Single Family;124m2;9;4;2;223200
11021;2011;11/30/2011;Bozrah;6 AUGUSTA CIRCLE;218450;Condo;Condo;103m2;1;4;2;209000
11021;2011;11/03/2011;Portland;13 WEST SUSSEX PLACE;264200;Condo;Condo;107m2;3;4;2;192600
11021;2011;10/21/2011;Bozrah;832 A HERITAGE VLG;160200;Condo;Condo;89m2;4;3;1;160200
11022;2011;07/18/2012;Naugatuck;41 BRONSON MOUNTAIN RD;2906800;Single Family;Single Family;275m2;2;7;3;1650000
11022;2011;11/15/2011;Lisbon;15 TEA HOUSE LANE;1450000;Single Family;Single Family;160m2;12;5;2;1450000
11022;2011;10/13/2011;Westport;90 SAINT MARC LANE;885000;Single Family;Single Family;174m2;3;5;2;885000
11022;2011;11/30/2011;Naugatuck;14.16.18 RIVER STREET;497600;Three Family;Three Family;311m2;2;7;4;497600
11022;2011;11/14/2011;Lisbon;257-259 HARTFORD AVE;486000;Two Family;Two Family;324m2;6;7;4;486000
11022;2011;1/09/2012;Rocky Hill;13 AUSTIN RD;472000;Single Family;Single Family;295m2;1;7;3;472000
11022;2011;12/27/2011;Southington;163 ROCKVILLE RD;449600;Single Family;Single Family;281m2;2;7;3;449600
11022;2011;12/06/2011;Westport;100 PUTNAM RD;438400;Single Family;Single Family;274m2;3;7;3;438400
11022;2011;07/31/2012;Portland;147 JACKSON ST;424000;Single Family;Single Family;265m2;6;7;3;424000
11022;2011;3/01/2012;Naugatuck;167 BETHMOUR RD;396100;Single Family;Single Family;233m2;3;6;3;396100
11022;2011;08/14/2012;Greenwich;63 CRANE HOLLOW RD;394900;Single Family;Single Family;243m2;8;6;3;388800
11022;2011;01/18/2012;East Lyme;544 LISBON RD;367200;Single Family;Single Family;216m2;11;6;3;367200
11022;2011;12/15/2011;Bozrah;72 MOTT LANE;350200;Single Family;Single Family;206m2;2;6;3;350200
11022;2011;05/14/2012;Bozrah;4 AETNA LA;340000;Single Family;Single Family;200m2;6;6;3;340000
11022;2011;4/12/2012;Rocky Hill;36 EAST KINGS HIGHWAY;335000;Single Family;Single Family;182m2;1;5;2;335000
11022;2011;1/05/2012;East Lyme;57 ESSEX ST;323000;Single Family;Single Family;190m2;3;5;2;323000
